CHEBI	BIGG
chebi:13365	oh1
chebi:13419	oh1
chebi:16234	oh1
chebi:29356	oh1
chebi:44641	oh1
chebi:5594	oh1
chebi:10744	h
chebi:13357	h
chebi:15378	h
chebi:24636	h
chebi:29233	h
chebi:29234	h
chebi:5584	h
chebi:13395	nadh
chebi:13396	nadh
chebi:16908	nadh
chebi:21902	nadh
chebi:44216	nadh
chebi:57945	nadh
chebi:7423	nadh
chebi:14299	grdp
chebi:17211	grdp
chebi:24223	grdp
chebi:42877	grdp
chebi:5332	grdp
chebi:58057	grdp
chebi:140723	mercplaccys
chebi:140724	mercplaccys
chebi:133668	CE2176
chebi:172453	CE2176
chebi:82913	CE2176
chebi:11701	triodthy
chebi:11702	triodthy
chebi:13059	triodthy
chebi:18258	triodthy
chebi:19894	triodthy
chebi:45840	triodthy
chebi:533015	triodthy
chebi:60308	triodthy
chebi:9722	triodthy
chebi:63800	4hdebrisoquine
chebi:63799	4mtolbutamide
chebi:81630	CN0010
chebi:1670	3uib
chebi:74414	3uib
chebi:13923	btal
chebi:15743	btal
chebi:22938	btal
chebi:3233	btal
chebi:12912	abt__D
chebi:18333	abt__D
chebi:20916	abt__D
chebi:4105	abt__D
chebi:14132	dtbt
chebi:149473	dtbt
chebi:16691	dtbt
chebi:23649	dtbt
chebi:36990	dtbt
chebi:42279	dtbt
chebi:42280	dtbt
chebi:4457	dtbt
chebi:57861	dtbt
chebi:14322	glutar
chebi:17859	glutar
chebi:24327	glutar
chebi:24329	glutar
chebi:24330	glutar
chebi:30921	glutar
chebi:30922	glutar
chebi:35906	glutar
chebi:35907	glutar
chebi:43097	glutar
chebi:5434	glutar
chebi:69060	CE2153
chebi:14518	lpam
chebi:17460	lpam
chebi:25055	lpam
chebi:6491	lpam
chebi:83094	lpam
chebi:63840	5homeprazole
chebi:10599	tartr__M
chebi:12824	tartr__M
chebi:15673	tartr__M
chebi:25206	tartr__M
chebi:25207	tartr__M
chebi:30928	tartr__M
chebi:35400	tartr__M
chebi:45680	tartr__M
chebi:48930	tartr__M
chebi:48931	tartr__M
chebi:12129	5g2oxpt
chebi:1249	5g2oxpt
chebi:18253	5g2oxpt
chebi:19740	5g2oxpt
chebi:20572	5g2oxpt
chebi:2060	5g2oxpt
chebi:28116	5g2oxpt
chebi:58489	5g2oxpt
chebi:137880	uchol
chebi:81240	uchol
chebi:125804	dca
chebi:23570	dca
chebi:23572	dca
chebi:27689	dca
chebi:30813	dca
chebi:41906	dca
chebi:4347	dca
chebi:12998	mana
chebi:17767	mana
chebi:21052	mana
chebi:21053	mana
chebi:33076	mana
chebi:4206	mana
chebi:49545	mana
chebi:58654	mana
chebi:81629	CN0011
chebi:10560	gcarote
chebi:24189	gcarote
chebi:27740	gcarote
chebi:20583	5hoxindact
chebi:2070	5hoxindact
chebi:50157	5hoxindact
chebi:11493	acg5sa
chebi:12461	acg5sa
chebi:12577	acg5sa
chebi:16319	acg5sa
chebi:21551	acg5sa
chebi:29123	acg5sa
chebi:7152	acg5sa
chebi:139258	CE2957
chebi:80657	CE2957
chebi:11857	3mcat
chebi:18404	3mcat
chebi:20127	3mcat
chebi:43829	3mcat
chebi:887	3mcat
chebi:69188	m1ocdca
chebi:33270	avite2
chebi:35062	avite2
chebi:14658	no2
chebi:16301	no2
chebi:25567	no2
chebi:44396	no2
chebi:7585	no2
chebi:133915	CE2615
chebi:31225	antipyrene
chebi:2784	apofetn
chebi:68568	c6dc
chebi:77082	c6dc
chebi:71466	oleth
chebi:77362	oleth
chebi:67410	4hba
