Reaction ID	Name	Subsystem	Reaction (IDs)	Reaction (Names)	Reaction (CHEBI)	Substrates (BiGG)	Genes	UIDs
CYTDK2	Cytidine kinase (GTP)	Nucleotide Salvage Pathway	1.0 cytd_c + 1.0 gtp_c = 1.0 cmp_c + 1.0 gdp_c + 1.0 h_c	1.0 Cytidine + 1.0 GTP C10H12N5O14P3 = 1.0 CMP C9H12N3O8P + 1.0 GDP C10H12N5O11P2 + 1.0 H+	1.0 CHEBI:41686 + 1.0 CHEBI:37565 = 1.0 CHEBI:60377 + 1.0 CHEBI:5212 + 1.0 CHEBI:5584	{'gdp', 'cmp', 'gtp', 'cytd', 'h'}	udk	P0A8F4
XPPT	Xanthine phosphoribosyltransferase	Nucleotide Salvage Pathway	1.0 prpp_c + 1.0 xan_c = 1.0 ppi_c + 1.0 xmp_c	1.0 5-Phospho-alpha-D-ribose 1-diphosphate + 1.0 Xanthine = 1.0 Diphosphate + 1.0 Xanthosine 5'-phosphate	1.0 CHEBI:2121 + 1.0 CHEBI:15318 = 1.0 CHEBI:45212 + 1.0 CHEBI:10938	{'prpp', 'xmp', 'ppi', 'xan'}	gpt	P0A9M5
HXPRT	Hypoxanthine phosphoribosyltransferase (Hypoxanthine)	Nucleotide Salvage Pathway	1.0 hxan_c + 1.0 prpp_c = 1.0 imp_c + 1.0 ppi_c	1.0 Hypoxanthine + 1.0 5-Phospho-alpha-D-ribose 1-diphosphate = 1.0 IMP C10H11N4O8P + 1.0 Diphosphate	1.0 CHEBI:14431 + 1.0 CHEBI:2121 = 1.0 CHEBI:43524 + 1.0 CHEBI:45212	{'prpp', 'hxan', 'ppi', 'imp'}	gpt, hpt	P0A9M5, P0A9M2
NDPK5	Nucleoside-diphosphate kinase (ATP:dGDP)	Nucleotide Salvage Pathway	1.0 atp_c + 1.0 dgdp_c = 1.0 adp_c + 1.0 dgtp_c	1.0 ATP C10H12N5O13P3 + 1.0 DGDP C10H12N5O10P2 = 1.0 ADP C10H12N5O10P2 + 1.0 DGTP C10H12N5O13P3	1.0 CHEBI:15422 + 1.0 CHEBI:58595 = 1.0 CHEBI:2342 + 1.0 CHEBI:16497	{'atp', 'dgtp', 'adp', 'dgdp'}	adk, ndk	P69441, P0A763
SHK3Dr	Shikimate dehydrogenase	Tyrosine, Tryptophan, and Phenylalanine Metabolism	1.0 3dhsk_c + 1.0 h_c + 1.0 nadph_c = 1.0 nadp_c + 1.0 skm_c	1.0 3-Dehydroshikimate + 1.0 H+ + 1.0 Nicotinamide adenine dinucleotide phosphate - reduced = 1.0 Nicotinamide adenine dinucleotide phosphate + 1.0 Shikimate	1.0 CHEBI:1488 + 1.0 CHEBI:5584 + 1.0 CHEBI:16474 = 1.0 CHEBI:29868 + 1.0 CHEBI:15083	{'3dhsk', 'skm', 'nadp', 'nadph', 'h'}	aroE, ydiB	P15770, P0A6D5
NDPK6	Nucleoside-diphosphate kinase (ATP:dUDP)	Nucleotide Salvage Pathway	1.0 atp_c + 1.0 dudp_c = 1.0 adp_c + 1.0 dutp_c	1.0 ATP C10H12N5O13P3 + 1.0 DUDP C9H11N2O11P2 = 1.0 ADP C10H12N5O10P2 + 1.0 DUTP C9H11N2O14P3	1.0 CHEBI:15422 + 1.0 CHEBI:60471 = 1.0 CHEBI:2342 + 1.0 CHEBI:17625	{'atp', 'dutp', 'adp', 'dudp'}	adk, ndk	P69441, P0A763
NDPK8	Nucleoside-diphosphate kinase (ATP:dADP)	Nucleotide Salvage Pathway	1.0 atp_c + 1.0 dadp_c = 1.0 adp_c + 1.0 datp_c	1.0 ATP C10H12N5O13P3 + 1.0 DADP C10H12N5O9P2 = 1.0 ADP C10H12N5O10P2 + 1.0 DATP C10H12N5O12P3	1.0 CHEBI:15422 + 1.0 CHEBI:10489 = 1.0 CHEBI:2342 + 1.0 CHEBI:495505	{'atp', 'adp', 'dadp', 'datp'}	adk, ndk	P69441, P0A763
DHORTS	Dihydroorotase	Purine and Pyrimidine Biosynthesis	1.0 dhor__S_c + 1.0 h2o_c = 1.0 cbasp_c + 1.0 h_c	1.0 (S)-Dihydroorotate + 1.0 H2O H2O = 1.0 N-Carbamoyl-L-aspartate + 1.0 H+	1.0 CHEBI:417 + 1.0 CHEBI:13352 = 1.0 CHEBI:12593 + 1.0 CHEBI:5584	{'dhor__S', 'cbasp', 'h', 'h2o'}	pyrC	P05020
OMPDC	Orotidine-5'-phosphate decarboxylase	Purine and Pyrimidine Biosynthesis	1.0 h_c + 1.0 orot5p_c = 1.0 co2_c + 1.0 ump_c	1.0 H+ + 1.0 Orotidine 5'-phosphate = 1.0 CO2 CO2 + 1.0 UMP C9H11N2O9P	1.0 CHEBI:5584 + 1.0 CHEBI:57538 = 1.0 CHEBI:23011 + 1.0 CHEBI:47721	{'h', 'ump', 'orot5p', 'co2'}	pyrF	P08244
PYNP2r	Pyrimidine-nucleoside phosphorylase (uracil)	Nucleotide Salvage Pathway	1.0 pi_c + 1.0 uri_c = 1.0 r1p_c + 1.0 ura_c	1.0 Phosphate + 1.0 Uridine = 1.0 Alpha-D-Ribose 1-phosphate + 1.0 Uracil	1.0 CHEBI:26078 + 1.0 CHEBI:46386 = 1.0 CHEBI:16300 + 1.0 CHEBI:27210	{'r1p', 'pi', 'uri', 'ura'}	udp	P12758
G5SD	Glutamate-5-semialdehyde dehydrogenase	Arginine and Proline Metabolism	1.0 glu5p_c + 1.0 h_c + 1.0 nadph_c = 1.0 glu5sa_c + 1.0 nadp_c + 1.0 pi_c	1.0 L-Glutamate 5-phosphate + 1.0 H+ + 1.0 Nicotinamide adenine dinucleotide phosphate - reduced = 1.0 L-Glutamate 5-semialdehyde + 1.0 Nicotinamide adenine dinucleotide phosphate + 1.0 Phosphate	1.0 CHEBI:6230 + 1.0 CHEBI:5584 + 1.0 CHEBI:16474 = 1.0 CHEBI:21302 + 1.0 CHEBI:29868 + 1.0 CHEBI:26078	{'nadp', 'nadph', 'pi', 'glu5sa', 'glu5p', 'h'}	proA	P07004
CS	Citrate synthase	Citric Acid Cycle	1.0 accoa_c + 1.0 h2o_c + 1.0 oaa_c = 1.0 cit_c + 1.0 coa_c + 1.0 h_c	1.0 Acetyl-CoA + 1.0 H2O H2O + 1.0 Oxaloacetate = 1.0 Citrate + 1.0 Coenzyme A + 1.0 H+	1.0 CHEBI:57288 + 1.0 CHEBI:13352 + 1.0 CHEBI:25731 = 1.0 CHEBI:35802 + 1.0 CHEBI:41631 + 1.0 CHEBI:5584	{'coa', 'accoa', 'oaa', 'h2o', 'cit', 'h'}	gltA	P0ABH7
ICDHyr	Isocitrate dehydrogenase (NADP)	Citric Acid Cycle	1.0 icit_c + 1.0 nadp_c = 1.0 akg_c + 1.0 co2_c + 1.0 nadph_c	1.0 Isocitrate + 1.0 Nicotinamide adenine dinucleotide phosphate = 1.0 2-Oxoglutarate + 1.0 CO2 CO2 + 1.0 Nicotinamide adenine dinucleotide phosphate - reduced	1.0 CHEBI:16087 + 1.0 CHEBI:29868 = 1.0 CHEBI:40661 + 1.0 CHEBI:23011 + 1.0 CHEBI:16474	{'icit', 'nadp', 'nadph', 'co2', 'akg'}	icd	P08200
