Reaction ID	Name	Subsystem	Reaction (IDs)	Reaction (Names)	Reaction (CHEBI)	Substrates (BiGG)	Genes	UIDs
H2SO	Hydrogen sulfide oxidation	Inorganic Ion Transport and Metabolism	1.0 h2s_c + 2.0 o2_c = 2.0 h_c + 1.0 so4_c	1.0 Hydrogen sulfide + 2.0 O2 O2 = 2.0 H+ + 1.0 Sulfate	1.0 CHEBI:14414 + 2.0 CHEBI:7860 = 2.0 CHEBI:5584 + 1.0 CHEBI:15135	{'h2s', 'so4', 'o2', 'h'}	Unknown	Unknown
26DAHtex	Meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 26dap__M_e = 1.0 26dap__M_p	1.0 Meso-2,6-Diaminoheptanedioate = 1.0 Meso-2,6-Diaminoheptanedioate	1.0 CHEBI:40838 = 1.0 CHEBI:40838	{'26dap__M'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
HCINNMtex	3-hydroxycinnamic acid transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 3hcinnm_e = 1.0 3hcinnm_p	1.0 3-hydroxycinnamic acid = 1.0 3-hydroxycinnamic acid	1.0 CHEBI:47925 = 1.0 CHEBI:47925	{'3hcinnm'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
HPPPNtex	3-(3-hydroxyphenyl)propionate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 3hpppn_e = 1.0 3hpppn_p	1.0 3-(3-hydroxy-phenyl)propionate = 1.0 3-(3-hydroxy-phenyl)propionate	1.0 CHEBI:57277 = 1.0 CHEBI:57277	{'3hpppn'}	ompF, ompN, ompC, phoE	P02931, P77747, P06996, P02932
ACtex	Acetate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 ac_e = 1.0 ac_p	1.0 Acetate = 1.0 Acetate	1.0 CHEBI:13704 = 1.0 CHEBI:13704	{'ac'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
ACALDtex	Acetaldehyde transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 acald_e = 1.0 acald_p	1.0 Acetaldehyde = 1.0 Acetaldehyde	1.0 CHEBI:40533 = 1.0 CHEBI:40533	{'acald'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
ACMANAtex	N-acetyl-D-mannosamine transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 acmana_e = 1.0 acmana_p	1.0 N-Acetyl-D-mannosamine = 1.0 N-Acetyl-D-mannosamine	1.0 CHEBI:7141 = 1.0 CHEBI:7141	{'acmana'}	ompC, phoE, ompF, ompN	P06996, P02932, P02931, P77747
ACMUMtex	N-acetylmuramate transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	1.0 acmum_e = 1.0 acmum_p	1.0 N-Acetylmuramate = 1.0 N-Acetylmuramate	1.0 CHEBI:47978 = 1.0 CHEBI:47978	{'acmum'}	phoE, ompF, ompN, ompC	P02932, P02931, P77747, P06996
SUCCt2_2pp	Succinate transport via proton symport (2 H) (periplasm)	Transport, Inner Membrane	2.0 h_p + 1.0 succ_p = 2.0 h_c + 1.0 succ_c	2.0 H+ + 1.0 Succinate = 2.0 H+ + 1.0 Succinate	2.0 CHEBI:5584 + 1.0 CHEBI:22941 = 2.0 CHEBI:5584 + 1.0 CHEBI:22941	{'succ', 'h'}	dctA, satP	P0A830, P0AC98
SUCFUMtpp	Succinate:fumarate antiporter (periplasm)	Transport, Inner Membrane	1.0 fum_p + 1.0 succ_c = 1.0 fum_c + 1.0 succ_p	1.0 Fumarate + 1.0 Succinate = 1.0 Fumarate + 1.0 Succinate	1.0 CHEBI:36180 + 1.0 CHEBI:22941 = 1.0 CHEBI:36180 + 1.0 CHEBI:22941	{'fum', 'succ'}	dcuB, dcuC, dcuA	P0ABN9, P0ABP3, P0ABN5
