Primary_ID	ChEBI Name
CHEBI:90	(-)-epicatechin
CHEBI:165	(1S,4R)-fenchone
CHEBI:598	1-alkyl-2-acylglycerol
CHEBI:776	16alpha-hydroxyestrone
CHEBI:943	2,6-dichlorobenzonitrile
CHEBI:1148	2-hydroxybutyric acid
CHEBI:1233	3-(all-trans-octaprenyl)benzene-1,2-diol
CHEBI:1269	2-polyprenylphenol
CHEBI:1296	20-hydroxycholesterol
CHEBI:1624	3-oxo-5beta-steroid
CHEBI:1712	3alpha-hydroxy-5beta-pregnan-20-one
CHEBI:1722	3beta-hydroxy-Delta(5)-steroid
CHEBI:1734	4'-O-methylisoflavone
CHEBI:1895	4-methylbenzyl alcohol
CHEBI:2030	5-aminoimidazole-4-carboxamide
CHEBI:2220	6-O-(beta-D-xylopyranosyl)-beta-D-glucopyranoside
CHEBI:2295	7alpha -hydroxytestosterone
CHEBI:2303	8-(1,1-dimethylallyl)galangin
CHEBI:2365	(+)-abscisic acid
CHEBI:2376	acarbose
CHEBI:2453	acyclovir
CHEBI:2469	adefovir
CHEBI:2631	amentoflavone
CHEBI:2639	amiloride
CHEBI:2676	amoxicillin
CHEBI:2682	amphotericin B
CHEBI:2686	amrinone
CHEBI:2700	anandamide
CHEBI:2719	Ile(5)-angiotensin II
CHEBI:2762	antimycin A
CHEBI:2790	apramycin
CHEBI:2873	asiatic acid
CHEBI:2877	aspartame
CHEBI:2914	atracurium
CHEBI:2955	azithromycin
CHEBI:2956	azlocillin
CHEBI:3008	bellidifolin
CHEBI:3013	bendroflumethiazide
CHEBI:3048	benzatropine
CHEBI:3082	betaxolol
CHEBI:3084	bethanechol
CHEBI:3087	betulinic acid
CHEBI:3112	biperiden
CHEBI:3139	bleomycin A2
CHEBI:3176	brinzolamide
CHEBI:3183	brompheniramine
CHEBI:3213	bumetanide
CHEBI:3216	buprenorphine
CHEBI:3238	butenafine
CHEBI:3240	butoconazole
CHEBI:3242	butorphanol
CHEBI:3243	butorphanol D-tartrate
CHEBI:3252	C-1027 chromophore
CHEBI:3303	calcein am
CHEBI:3319	calicheamicin gamma1(I)
CHEBI:3353	candoxatril
CHEBI:3354	candoxatrilat
CHEBI:3385	carbachol
CHEBI:3387	carbamazepine
CHEBI:3395	carbidopa
CHEBI:3398	carbinoxamine
CHEBI:3419	carisoprodol
CHEBI:3478	cefaclor
CHEBI:3485	cefdinir
CHEBI:3493	cefoperazone
CHEBI:3499	cefotetan
CHEBI:3504	cefpodoxime
CHEBI:3510	ceftibuten
CHEBI:3523	cellodextrin
CHEBI:3537	cefaloridine
CHEBI:3558	cerivastatin
CHEBI:3567	cetyltrimethylammonium bromide
CHEBI:3637	chloroprocaine hydrochloride
CHEBI:3640	chlorothiazide
CHEBI:3642	chlorphenesin
CHEBI:3650	chlorpropamide
CHEBI:3655	chlorzoxazone
CHEBI:3663	cholesteryl palmitate
CHEBI:3696	cidofovir anhydrous
CHEBI:3697	cilastatin
CHEBI:3716	cinoxacin
CHEBI:3720	cisapride
CHEBI:3732	clarithromycin
CHEBI:3738	clemastine
CHEBI:3743	clidinium
CHEBI:3745	clindamycin
CHEBI:3749	clofazimine
CHEBI:3756	clonazepam
CHEBI:3856	confertin
CHEBI:3900	costunolide
CHEBI:3930	cryptolepine
CHEBI:3960	cupressuflavone
CHEBI:3994	cyclizine
CHEBI:3996	cyclobenzaprine
CHEBI:4031	cyclosporin A
CHEBI:4046	cyproheptadine
CHEBI:4075	(R)-(1-aminoethyl)phosphonic acid
CHEBI:4222	D-pantetheine 4'-phosphate
CHEBI:4309	dalfopristin
CHEBI:4315	danazol
CHEBI:4325	dapsone
CHEBI:4354	decursinol
CHEBI:4379	delavirdine mesylate
CHEBI:4392	demeclocycline
CHEBI:4470	dextromethorphan
CHEBI:4474	dezocine
CHEBI:4495	diazoxide
CHEBI:4513	dicoumarol
CHEBI:4514	dicyclomine
CHEBI:4551	digoxin
CHEBI:4562	dihydroergotamine
CHEBI:4629	diosgenin
CHEBI:4670	dobutamine
CHEBI:4702	dorzolamide
CHEBI:4717	droperidol
CHEBI:4728	dyphylline
CHEBI:4735	ethylenediaminetetraacetic acid
CHEBI:4759	edrophonium chloride
CHEBI:4778	embelin
CHEBI:4779	emedastine
CHEBI:4784	enalapril
CHEBI:4786	enalaprilat (anhydrous)
CHEBI:4788	encainide
CHEBI:4821	ergocristine
CHEBI:4822	ergometrine
CHEBI:4858	estazolam
CHEBI:4877	ethambutol
CHEBI:4882	ethchlorvynol
CHEBI:4884	ethinamate
CHEBI:4887	ethosuximide
CHEBI:4888	ethotoin
CHEBI:4904	etidocaine
CHEBI:4907	etidronic acid
CHEBI:4909	etodolac
CHEBI:4910	etomidate
CHEBI:4916	eugeniin
CHEBI:4932	eupatilin
CHEBI:4946	euxanthone
CHEBI:4974	famciclovir
CHEBI:4986	fatty acid methyl ester
CHEBI:4995	felbamate
CHEBI:5000	fenfluramine
CHEBI:5004	fenoprofen
CHEBI:5091	flecainide acetate
CHEBI:5163	fosinopril
CHEBI:5186	fucoxanthin
CHEBI:5280	gatifloxacin
CHEBI:5292	geldanamycin
CHEBI:5353	ginkgetin
CHEBI:5445	glyceraldehyde
CHEBI:5638	heliangin
CHEBI:5706	hexobarbital
CHEBI:5721	hinokiflavone
CHEBI:5722	hinokinin
CHEBI:5776	hydrangenol
CHEBI:5850	N-(2-methoxyphenyl)-N'-(2-naphthyl)urea
CHEBI:5864	ifosfamide
CHEBI:5885	imperatorin
CHEBI:5981	isoalantolactone
CHEBI:6116	kavapyrone
CHEBI:6121	ketamine
CHEBI:6263	L-lysinamide
CHEBI:6332	(2S,4S)-hypoglycin B
CHEBI:6339	etoricoxib
CHEBI:6359	lactulose
CHEBI:6443	levonorgestrel
CHEBI:6538	loratadine
CHEBI:6570	lupeol
CHEBI:6631	maculosin
CHEBI:6698	(-)-matairesinol
CHEBI:6716	medroxyprogesterone acetate
CHEBI:6757	mephenytoin
CHEBI:6758	mephobarbital
CHEBI:6759	mepivacaine
CHEBI:6780	mesoridazine
CHEBI:6802	metformin hydrochloride
CHEBI:6897	metipranolol
CHEBI:6909	metronidazole
CHEBI:6916	mexiletine
CHEBI:6942	minoxidil
CHEBI:6997	moricizine
CHEBI:7025	mupirocin
CHEBI:7061	myxochelin B
CHEBI:7071	N,N-diethyl-m-toluamide
CHEBI:7438	N-methylformamide
CHEBI:7447	nafcillin
CHEBI:7476	naproxen
CHEBI:7489	neamine
CHEBI:7508	framycetin
CHEBI:7553	niclosamide
CHEBI:7569	nigericin
CHEBI:7622	norathyriol
CHEBI:7627	norethisterone
CHEBI:7638	norswertianolin
CHEBI:7747	oleuropein
CHEBI:7789	orphenadrine
CHEBI:7798	oseltamivir
CHEBI:7896	hexadecanoate
CHEBI:7907	pancuronium
CHEBI:7934	paromomycin
CHEBI:7947	pedalitin
CHEBI:7956	penciclovir
CHEBI:7959	D-penicillamine
CHEBI:7963	benzylpenicillin potassium
CHEBI:7983	pentobarbital
CHEBI:7989	pepstatin A
CHEBI:8029	perseitol
CHEBI:8048	phellamurin
CHEBI:8069	phenobarbital
CHEBI:8107	phenytoin
CHEBI:8232	piperacillin
CHEBI:8404	prilocaine
CHEBI:8405	primaquine
CHEBI:8435	prochlorperazine
CHEBI:8452	3,6-diaminoacridine
CHEBI:8489	propiconazole
CHEBI:8653	pyocyanine
CHEBI:8691	quassimarin
CHEBI:8772	raloxifene
CHEBI:8802	remifentanil
CHEBI:8881	robustaflavone
CHEBI:8884	rocuronium
CHEBI:8890	(S)-ropivacaine
CHEBI:8927	S-(2,4-dinitrophenyl)glutathione
CHEBI:9023	santamarin
CHEBI:9096	L-selenohomocysteine
CHEBI:9110	senegin II
CHEBI:9118	sermorelin
CHEBI:9139	sildenafil
CHEBI:9150	simvastatin
CHEBI:9168	sirolimus
CHEBI:9190	solasodine
CHEBI:9200	soraphen A
CHEBI:9215	spectinomycin
CHEBI:9241	spironolactone
CHEBI:9242	spiroxamine
CHEBI:9287	streptonigrin
CHEBI:9332	sulfamethoxazole
CHEBI:9334	sulfasalazine
CHEBI:9362	suprofen
CHEBI:9368	swerchirin
CHEBI:9407	taurochenodeoxycholate
CHEBI:9421	tazobactam
CHEBI:9442	tephrosin
CHEBI:9468	tetracaine
CHEBI:9516	thapsigargin
CHEBI:9578	(-)-thujopsene
CHEBI:9599	(S)-timolol (anhydrous)
CHEBI:9605	tirofiban
CHEBI:9611	tocainide
CHEBI:9671	triamterene
CHEBI:9678	tribenuron methyl
CHEBI:9688	trichodermin
CHEBI:9727	trimethadione
CHEBI:9915	uvaretin
CHEBI:9997	pristinamycin IIA
CHEBI:10023	voriconazole
CHEBI:10036	wax ester
CHEBI:10038	wighteone
CHEBI:10041	withanolide D
CHEBI:10050	XV638
CHEBI:10110	zidovudine
CHEBI:10127	zonisamide
CHEBI:10216	cedr-8-ene
CHEBI:10353	beta-asarone
CHEBI:10429	beta-lapachone
CHEBI:10447	beta-thujaplicin
CHEBI:10642	scyllo-inositol
CHEBI:10790	methylenediurea
CHEBI:11230	1-acylglycerophosphocholine(1+)
CHEBI:11449	2,5-didehydro-D-gluconate
CHEBI:11515	2-amino-5-formylamino-6-(1-D-ribosylamino)pyrimidin-4(3H)-one 5'-phosphate
CHEBI:11714	3-(2,4-bis[N-acetyl-beta-D-glucosaminyl]-alpha-D-mannosyl)-beta-D-mannosyl group
CHEBI:11750	3-sn-phosphatidyl-L-serine
CHEBI:11901	3alpha,7alpha-dihydroxy-12-oxo-5beta-cholanate
CHEBI:12194	6-(N-acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol
CHEBI:12257	7-methoxyisoflavone
CHEBI:12755	indol-3-ylacetyl-CoA
CHEBI:13601	3-oxo-5alpha-steroid
CHEBI:13610	3beta-hydroxysterol ester
CHEBI:13614	6,7-dihydropteridines
CHEBI:13759	alkylamine
CHEBI:13769	aminohydroquinone
CHEBI:13790	N-acetylarylamine
CHEBI:13792	N-hydroxyarylamine
CHEBI:15334	N(alpha)-methyl-L-tryptophan
CHEBI:15335	5,7-dihydroxy-4'-methoxyflavone
CHEBI:15336	agaritine
CHEBI:15337	beta-alanopine
CHEBI:15338	alanyl poly(glycerol phosphate)s
CHEBI:15342	acenaphthoquinone
CHEBI:15343	acetaldehyde
CHEBI:15344	acetoacetic acid
CHEBI:15345	acetoacetyl-CoA
CHEBI:15346	coenzyme A
CHEBI:15347	acetone
CHEBI:15348	2-hydroxy-2-methylpropanenitrile
CHEBI:15349	acetone oxime
CHEBI:15350	acetyl dihydrogen phosphate
CHEBI:15351	acetyl-CoA
CHEBI:15352	1-O-acetyl-beta-maltose
CHEBI:15353	blasticidin S
CHEBI:15354	choline
CHEBI:15355	acetylcholine
CHEBI:15356	cysteine
CHEBI:15357	acetylenedicarboxylate(2-)
CHEBI:15360	acetylpyruvate
CHEBI:15361	pyruvate
CHEBI:15362	hydroxyacetone phosphate
CHEBI:15363	N-acetylindoxyl
CHEBI:15364	propynoate
CHEBI:15365	acetylsalicylic acid
CHEBI:15366	acetic acid
CHEBI:15367	all-trans-retinoic acid
CHEBI:15368	acrolein
CHEBI:15371	3-oxopristanoyl-CoA
CHEBI:15372	5,6,7,8-tetrahydrobiopterin
CHEBI:15373	biopterin
CHEBI:15374	4a-hydroxytetrahydrobiopterin
CHEBI:15375	D-erythro-7,8-dihydrobiopterin
CHEBI:15376	(2Z,4E)-5-hydroxypenta-2,4-diene-1,2,5-tricarboxylate(3-)
CHEBI:15377	water
CHEBI:15378	hydron
CHEBI:15379	dioxygen
CHEBI:15380	succinyl-CoA
CHEBI:15382	(4R)-limonene
CHEBI:15383	(4S)-limonene
CHEBI:15384	limonene
CHEBI:15385	(+)-delta-cadinene
CHEBI:15386	(3S,4R)-3,4-dihydrophenanthrene-3,4-diol
CHEBI:15387	(+)-cis-sabinol
CHEBI:15388	(+)-trans-carveol
CHEBI:15389	(-)-trans-carveol
CHEBI:15390	(+)-bisdechlorogeodin
CHEBI:15391	(-)-bisdechlorogeodin
CHEBI:15392	(1R)-bornane-2,5-dione
CHEBI:15393	(+)-borneol
CHEBI:15394	(-)-borneol
CHEBI:15395	(+)-bornyl diphosphate
CHEBI:15396	(R)-camphor
CHEBI:15397	(S)-camphor
CHEBI:15398	(+)-exo-5-hydroxycamphor
CHEBI:15399	(+)-carvone
CHEBI:15400	(-)-carvone
CHEBI:15401	(+)-dihydrokaempferol
CHEBI:15402	(+)-neomenthol
CHEBI:15403	(+)-sabinone
CHEBI:15404	(-)-homoisocitrate(3-)
CHEBI:15405	(-)-endo-fenchol
CHEBI:15406	(-)-trans-isopiperitenol
CHEBI:15407	(-)-ephedrine
CHEBI:15408	(-)-isopiperitenone
CHEBI:15409	(-)-menthol
CHEBI:15410	(-)-menthone
CHEBI:15411	(-)-menthyl beta-D-glucoside
CHEBI:15412	(-)-ureidoglycolic acid
CHEBI:15413	2',4,4',6'-tetrahydroxychalcone
CHEBI:15414	S-adenosyl-L-methionine
CHEBI:15415	ent-kaurene
CHEBI:15416	ent-kaur-16-en-19-ol
CHEBI:15417	ent-kaur-16-en-19-oic acid
CHEBI:15418	ent-kaur-16-en-19-al
CHEBI:15419	ent-7alpha-hydroxykaur-16-en-19-oic acid
CHEBI:15420	perillyl alcohol
CHEBI:15421	perillyl aldehyde
CHEBI:15422	ATP
CHEBI:15423	clavaminic acid
CHEBI:15424	dihydroclavaminic acid
CHEBI:15425	proclavaminic acid
CHEBI:15426	deoxyamidinoproclavaminic acid
CHEBI:15427	N(2)-(2-carboxyethyl)-L-arginine
CHEBI:15428	glycine
CHEBI:15429	hydroxylamine
CHEBI:15430	protoporphyrin
CHEBI:15431	magnesium protoporphyrin
