Family	Mechanism	Acting Entity
1.A.1	cation (out) â‡Œ cation (in)	cation
1.A.8	H2O (out) â†’ H2O (in), solute (out) â†’ solute (in)       	H2O, solute
1.A.17	Cl- (out) â‡Œ Cl- (in), Cations (out) â‡Œ Cations (in)	Cl-, Cations
1.A.9	ions (in) â‡Œ ions (out)	ions
1.A.77	Mg2+ (out) â‡Œ Mg2+ (in), Ca2+ (out) â‡Œ Ca2+ (in)	
1.A.30	Nan	
1.A.4	Ca2+ (out) â‡Œ Ca2+ (in), C+ + Ca2+ (out) â‡Œ C+ + Ca2+ (in)	
1.A.69	cations (in) â‡Œ cations (out)	cations
1.A.6	Na+ (out) â‡Œ Na+ (in), Cation (out) â‡Œ Cation (in)	Na+, Cation
1.A.10	Me(+/2+) (out) â‡Œ Me(+/2+) (in)	Me(+/2+)
1.B.14	Substrate (out) â†’(pmf) Substrate (periplasm)	Substrate
1.B.6	Nan	
1.B.1	Solute (out) â‡Œ Solute (in)	Solute
1.B.8	anionic metabolites (out) â‡Œ anionic metabolites (intermembrane space)	anionic metabolites
1.B.12	Protein virulence factor (periplasm) â†’ Protein virulence factor (external milieu)	Protein virulence factor
1.B.33	OMPs (periplasm) â†’ OMPs (outer membrane)	OMPs
1.B.25	Substrate (out) â‡Œ Substrate (periplasm)	Substrate
1.B.23	Nan	
1.B.17	Nan	
1.B.89	Nan	
1.C.39	Small and large molecules (in) â‡Œ Small and large molecules (out)	Small and large molecules
1.C.52	Ions (in) â‡Œ Ions (out)	Ions
1.C.137	Nan	
1.C.36	proteins (bacterial cytoplasm) â†’ proteins (host cell cytoplasm)	Proteins
1.C.41	Solutes (in) â‡Œ Solutes (out)	Solutes
1.C.12	Small and large molecules (in) â†’ Small and large molecules (out)	Small and large molecules
1.C.4	Small molecules (in) â‡Œ Small molecules (out)	Small molecules
1.C.97	Nan	
1.C.85	Small molecules (in) â‡Œ Small molecules (out)	Small molecules
1.C.1	Ions (in) â‡Œ Ions (out)	Ions
2.A.1	S (out) â‡Œ S (in), S (out) + H+/Na+ (out) â‡Œ S (in) + H+/Na+ (in), S1 (out) + S2 (in) â‡Œ S1 (in) + S2 (out)	S, S, S1/S2
2.A.7	Nan	
2.A.6	Substrates (in) + nH+ (out) â†’ Substrates (out) + nH+ (in)	Substrates
2.A.29	S1 (out) + S2 (in) â‡Œ S1 (in) + S2 (out)	S1/S2
2.A.3	S (out) + nH+ (out) â†’ S (in) + nH+ (in), S1 (out) + S2 (in) â‡Œ S1 (in) + S2 (out)	S, S1/S2
2.A.66	Nan	
2.A.5	Me2+ (out) â†’(pmf) Me2+ (in)	Me2+
2.A.18	Substrate (out) + nH+ (out) â†’ Substrate (in) + nH+ (in)	Substrate
2.A.56	solute (out) + nH+ (out) â†’ solute (in) + nH+ (in)	solute
2.A.36	Na+ (out) + H+ (in) â‡Œ Na+ (in) + H+ (out)	Na+
3.A.1	Solute (in) + ATP â†’ Solute (out) + ADP + Pi, Substrate (out) + ATP â†’ Substrate (in) + ADP + Pi	Solute, Substrate
3.A.7	(Nucleo)protein (donor cytoplasm) + ATP (in) â†’ (Nucleo)protein (recipient cytoplasm or medium) + ADP (in) + Pi (in)	(Nucleo)protein
3.A.2	nH+ (in) + ATP â‡Œ nH+ (out) + ADP + Pi, nNa+ (in) + ATP â‡Œ nNa+ (out) + ADP + Pi	
3.A.3	nMe1 (out) + mMe2 (in) + ATP â†’ nMe1 (in) + mMe2 (out) + ADP + Pi, Phospholipid (outer leaflet of the membrane) + ATP â†’ Phospholipid (inner leaflet) + ADP + Pi	Me1/Me2, Phospholipid
3.A.5	ATP + unfolded protein (cytoplasm) â‡Œ(pmf) ADP + Pi + unfolded protein (periplasm or cytoplasmic membrane)	unfolded protein
3.A.16	misfolded protein (ER)  â†’ misfolded protein (cytosol)	misfolded protein
3.A.23	Protein and_or DNA (cytoplasm of the donor) â†’ Protein and_or DNA (cytoplasm of the recipient)	Protein and_or DNA
3.A.20	protein (cytoplasm) â†’ protein (peroxisomal matrix/membrane)	protein
3.A.6	Protein (bacterial cytoplasm) + ATP + H+/Na+ (out) â†’(pmf/smf) Protein (out or in the host cell cytoplasm) +  ADP + Pi + H+/Na+ (in)	Protein
3.A.31	Nan	
