Family	Mechanism	Acting Entity
1.A.1	cation (out) â‡Œ cation (in)	cation
1.A.8	H2O (out) â†’ H2O (in)	H2O
1.A.8	solute (out) â†’ solute (in)	solute
1.A.17	Cl- (out) â‡Œ Cl- (in)	Cl-
1.A.17	cation (out) â‡Œ cation (in)	cation
1.A.9	ions (in) â‡Œ ions (out)	ions
1.A.77	Mg2+ (out) â‡Œ Mg2+ (in)	Mg2+
1.A.77	Ca2+ (out) â‡Œ Ca2+ (in)	Ca2+
1.A.30		
1.A.4	Ca2+ (out) â‡Œ Ca2+ (in)	Ca2+
1.A.4	C+ + Ca2+ (out) â‡Œ C+ + Ca2+ (in)	Ca2+
1.A.4	C+ + Ca2+ (out) â‡Œ C+ + Ca2+ (in)	C+
1.A.69	cation (in) â‡Œ cation (out)	cation
1.A.6	Na+ (out) â‡Œ Na+ (in)	Na+
1.A.6	Cation (out) â‡Œ Cation (in)	Cation
1.A.10	Me(+/2+) (out) â‡Œ Me(+/2+) (in)	Me(+/2+)
1.B.14	substrate (out) â†’(pmf) substrate (periplasm)	substrate
1.B.6		
1.B.1	solute (out) â‡Œ solute (in)	solute
1.B.8	anionic metabolites (out) â‡Œ anionic metabolites (intermembrane space)	anionic metabolites
1.B.12	Protein virulence factor (periplasm) â†’ Protein virulence factor (external milieu)	Protein virulence factor
1.B.33	OMPs (periplasm) â†’ OMPs (outer membrane)	OMPs
1.B.25	substrate (out) â‡Œ substrate (periplasm)	substrate
1.B.23		
1.B.17		
1.B.89		
1.C.39	Small and large molecules (in) â‡Œ Small and large molecules (out)	Small and large molecules
1.C.52	Ions (in) â‡Œ Ions (out)	Ions
1.C.137		
1.C.36	proteins (bacterial cytoplasm) â†’ proteins (host cell cytoplasm)	Proteins
1.C.41	solute (in) â‡Œ solute (out)	solute
1.C.12	Small and large molecules (in) â†’ Small and large molecules (out)	Small and large molecules
1.C.4	Small molecules (in) â‡Œ Small molecules (out)	Small molecules
1.C.97		
1.C.85	Small molecules (in) â‡Œ Small molecules (out)	Small molecules
1.C.1	Ions (in) â‡Œ Ions (out)	Ions
2.A.1	S (out) â‡Œ S (in)	S
2.A.1	S (out) + H+ (out) â‡Œ S (in) + H+ (in)	S
2.A.1  	S (out) + Na+ (out) â‡Œ S (in) + Na+ (in)	S
2.A.7		
2.A.6	substrate (in) + n H+ (out) â†’ substrate (out) + n H+ (in)	substrate
2.A.29	S1 (out) + S2 (in) â‡Œ S1 (in) + S2 (out)	S1
2.A.3	S (out) + n H+ (out) â†’ S (in) + n H+ (in)	S
2.A.66		
2.A.5	Me2+ (out) â†’(pmf) Me2+ (in)	Me2+
2.A.18	substrate (out) + n H+ (out) â†’ substrate (in) + n H+ (in)	substrate
2.A.56	solute (out) + n H+ (out) â†’ solute (in) + n H+ (in)	solute
2.A.36	Na+ (out) + H+ (in) â‡Œ Na+ (in) + H+ (out)	Na+
3.A.1	solute (in) + ATP â†’ solute (out) + ADP + Pi	solute
3.A.1	substrate (out) + ATP â†’ substrate (in) + ADP + Pi	substrate
3.A.7	(Nucleo)protein (donor cytoplasm) + ATP (in) â†’ (Nucleo)protein (recipient cytoplasm or medium) + ADP (in) + Pi (in)	(Nucleo)protein
3.A.2	n H+ (in) + ATP â‡Œ n H+ (out) + ADP + Pi	H+
3.A.2	n Na+ (in) + ATP ⇌ n Na+ (out) + ADP + Pi	Na+
3.A.3	Phospholipid (outer leaflet of the membrane) + ATP â†’ Phospholipid (inner leaflet) + ADP + Pi	Phospholipid
3.A.5	ATP + unfolded protein (cytoplasm) â‡Œ(pmf) ADP + Pi + unfolded protein (periplasm or cytoplasmic membrane)	unfolded protein
3.A.16	misfolded protein (ER) â†’ misfolded protein (cytosol)	misfolded protein
3.A.23	Protein and_or DNA (cytoplasm of the donor) â†’ Protein and_or DNA (cytoplasm of the recipient)	Protein and_or DNA
3.A.20	protein (cytoplasm) â†’ protein (peroxisomal matrix/membrane)	protein
3.A.6	Protein (bacterial cytoplasm) + ATP + H+ (out) â†’(pmf/smf) Protein (out or in the host cell cytoplasm) + ADP + Pi + H+ (in)	Protein
3.A.6	Protein (bacterial cytoplasm) + ATP + Na+ (out) â†’(pmf/smf) Protein (out or in the host cell cytoplasm) + ADP + Pi + Na+ (in)	Protein
