protein	reaction	direction
Q9LBE7	11064	nan
Q51856	23124	nan
Q51856	36631	nan
Q08IS0	56720	nan
Q08IS0	51224	nan
Q54S02	17953	nan
Q54CX6	17681	nan
Q54P77	19641	19642
Q54P77	72419	72420
Q54P77	72423	72424
Q54P78	19641	19642
Q54P78	72419	72420
Q54P78	72423	72424
Q54P79	19641	19642
Q54P79	72419	72420
Q54P79	72423	72424
Q54XC1	12484	12485
Q54XC1	19961	nan
Q8TA03	10116	nan
Q54CJ3	12556	nan
Q54N73	10596	nan
Q54U65	17989	nan
Q54U65	46608	nan
Q54SF7	21824	nan
Q55F21	21824	nan
Q55F21	65560	nan
Q86AG8	17533	nan
Q54K00	17533	nan
Q54W19	45956	45958
Q54J08	11308	nan
Q54J08	13501	nan
Q54IM8	44180	44181
Q54IM8	48256	48257
Q54IM8	31287	31288
Q76NT9	23640	nan
A6BM06	23640	nan
Q54RR5	43780	43781
Q54K91	20289	nan
Q54YA0	21160	nan
Q54LN9	16557	nan
Q54X73	10336	nan
Q54XS2	10336	nan
Q54GQ6	38959	nan
Q54Z60	23176	nan
Q554Z5	23176	nan
Q54GX7	13065	nan
Q554S6	13065	nan
P07828	13065	nan
P02578	13065	nan
P07830	13065	nan
Q553U6	13065	nan
Q55EU6	13065	nan
Q54HF1	13065	nan
Q54HF0	13065	nan
Q55CU2	13065	nan
Q54HE9	13065	nan
Q54HE7	13065	nan
Q54L54	13065	nan
P07829	13065	nan
P02576	13065	nan
P24263	13065	nan
P11426	13065	nan
Q55DP8	15565	nan
Q55DP8	36855	nan
Q553U5	24408	nan
O96759	36171	nan
Q54XP3	50968	nan
Q54KF3	24408	nan
P35630	21792	nan
Q24803	10736	nan
Q24803	10740	nan
Q24803	23288	nan
Q24857	15937	nan
Q54TC2	10736	nan
Q54TC2	10740	nan
Q54TC2	19981	nan
Q54TC2	19985	nan
Q54MB5	20824	nan
Q54H71	14885	nan
Q54KG7	42312	nan
O97470	34999	35000
Q556I2	14409	nan
P80197	17989	nan
P80197	46608	nan
Q54GT6	22852	nan
Q54GT6	24248	nan
Q54RP0	14349	nan
Q9GRX6	11356	nan
Q54RA2	30235	nan
P83401	16185	nan
Q54MJ7	19453	nan
P30840	16185	nan
Q54DG1	11888	nan
Q54DG1	16185	nan
Q86A67	14729	nan
Q54DM9	29523	29524
P90522	13865	13866
Q7KWM5	29515	29516
Q7KWM5	29519	29520
Q55F69	29527	29528
Q54J42	15401	15402
Q54QG6	30635	30636
Q554E2	31307	31308
Q54VL5	11016	nan
Q54SV3	17029	nan
Q55C91	17029	nan
Q6IMN8	12789	12791
Q54NZ7	12785	nan
Q54NZ7	12789	nan
Q55FL3	12785	nan
Q55FL3	12789	nan
Q54DD0	14777	14778
Q54YF2	17989	nan
Q54YF2	46608	nan
Q54EF2	48096	nan
Q54HI0	48096	nan
Q54KI3	48108	nan
Q54IT3	26414	nan
Q556K3	26414	nan
Q556K4	26414	nan
Q54T49	19233	nan
Q55FK4	19233	nan
Q55C82	16609	nan
O00909	19669	nan
Q54M18	21588	nan
Q54M18	14629	nan
Q55DT8	18049	nan
P54638	15941	nan
C4LSS0	20569	nan
Q54DY1	15349	nan
Q54DY1	24292	nan
D3AXF4	15349	nan
D3AXF4	24292	nan
Q54HC6	17989	nan
Q54HC6	46608	nan
Q54IU9	16613	nan
Q54IU8	16613	nan
Q54IU7	16613	nan
Q54G57	13065	nan
Q54WW4	21016	nan
Q54MB4	12228	nan
P54678	18105	18106
Q55EI0	10208	nan
Q86CS2	17989	nan
Q86CS2	46608	nan
Q557H7	67548	67549
Q54NA3	38571	nan
Q54NA3	38663	nan
Q54NA3	38895	nan
Q55CS9	57720	57722
Q54ER4	17989	nan
Q54ER4	46608	nan
Q54K95	15093	nan
Q54HG7	21536	nan
Q54WX4	17989	nan
Q54WX4	46608	nan
Q54N47	18321	nan
Q54N47	24801	nan
Q54N47	24813	nan
Q869K3	10040	10041
Q869K3	77643	77644
Q869K3	77639	77640
Q869K3	15553	15554
Q869K3	70319	70320
Q55DA6	54584	nan
Q54W07	17989	nan
Q54W07	46608	nan
Q964D8	11184	nan
Q964D8	37339	nan
Q1ZXA1	74107	74108
Q86IC9	16925	nan
Q86IC8	16925	nan
Q55AS5	16925	nan
Q54ST2	14205	nan
Q55D85	21308	nan
O77229	20309	nan
Q55DH8	20309	nan
P46794	10112	nan
Q552W5	22648	22650
Q54DK3	17989	nan
Q54DK3	46608	nan
Q54I82	16069	nan
Q54I82	13433	nan
Q55GS4	17989	nan
Q55GS4	46608	nan
Q54RB2	17989	nan
Q54RB2	46608	nan
P34112	17989	nan
P34112	46608	nan
P34112	10216	nan
Q04770	17989	nan
Q04770	46608	nan
P34117	17989	nan
P34117	46608	nan
P54685	17989	nan
P54685	46608	nan
P54685	10216	nan
Q95YH0	17989	nan
Q95YH0	46608	nan
Q95YH0	10216	nan
Q55D90	16229	nan
Q55DV9	14005	14006
Q55DV9	24931	24932
Q55DV9	14501	14502
Q55DV9	24923	24924
Q54FI4	64356	64357
Q54FI4	64360	64361
Q86AV6	16845	nan
Q553V1	16845	nan
Q8MQU6	16845	nan
Q54UA9	17989	nan
Q54UA9	46608	nan
Q54JH6	13681	nan
Q54JL7	25017	nan
Q54Y51	16793	nan
Q54U71	44504	nan
Q54XD0	44452	nan
Q54XD0	44380	nan
Q54VN2	28286	nan
Q54EN1	20361	nan
Q54VB3	50908	nan
Q37370	11436	11437
Q2LCQ6	11436	11437
O21042	11436	11437
Q07434	11436	11437
Q37374	11436	11437
Q2LCP9	11436	11437
O21049	11436	11437
P30815	11436	nan
P20609	11436	nan
P20610	11436	nan
Q1ZXH9	54028	54029
Q1ZXH9	68060	68061
Q1ZXH9	68064	68065
Q1ZXH9	68068	68069
Q1ZXH9	25286	25287
Q1ZXH9	75103	75104
Q1ZXH9	75107	75108
Q1ZXH9	75111	75112
P19476	62620	nan
Q02720	17989	nan
Q02720	46608	nan
Q9XYL0	20629	nan
Q9XYL0	47004	nan
Q54I48	75463	nan
Q54I48	75467	nan
Q54WT7	66172	66173
Q54D07	11484	nan
Q03100	15389	nan
Q55F68	15389	15390
Q03101	15389	nan
Q9NI62	16237	16239
Q54CN7	14829	nan
Q1ZXG8	10684	nan
Q54YL2	23452	nan
P34039	15981	nan
Q8T1E3	15981	nan
Q54UF3	22964	nan
Q9U720	19929	19930
Q54DF9	19865	nan
Q54Q94	13065	nan
Q54CE0	13065	nan
Q54S03	13065	nan
Q54TF8	13065	nan
Q55CP6	13065	nan
Q54ZI9	13065	nan
Q54Y81	13065	nan
Q54TD7	13065	nan
Q54TJ4	13065	nan
Q869P0	13065	13066
Q54QS3	13065	nan
Q54KG1	13065	nan
Q54IV3	13065	nan
Q553B1	13065	nan
Q54VT4	13065	nan
Q55BR9	13065	nan
Q54BD6	13065	nan
Q86IZ9	13065	nan
Q54CD8	13065	nan
Q54EC2	13065	nan
Q54VF1	13065	nan
Q54CD6	13065	nan
Q54E49	13065	nan
Q55BH9	10868	10869
Q55BH9	11488	11489
Q55BH9	37911	37912
Q55BH9	38219	38220
Q55BH9	38175	38176
Q55BH9	55340	55341
Q55BH9	55344	55345
Q55BH9	37915	37916
Q55BH9	38379	38380
Q55BH9	38307	38308
Q55BH9	38211	38212
Q55BH9	38171	38172
Q55BH9	38071	38072
Q55BH9	38163	38164
Q55BH9	38167	38168
Q55BH9	55296	55297
Q55BH9	38435	38436
Q55BH9	38439	38440
Q54GC1	10868	10869
Q54GC1	11488	11489
Q54GC1	37911	37912
Q54GC1	38219	38220
Q54GC1	38175	38176
Q54GC1	55340	55341
Q54GC1	37915	37916
Q54GC1	38163	38164
Q54GC1	38435	38436
Q54GC1	38439	38440
Q54GC1	38071	38072
P34125	10272	10273
Q54UT2	19201	nan
Q55EE0	15773	nan
Q55EE0	13941	nan
Q54KB7	15133	nan
Q54KB7	11612	nan
Q54Q69	17989	nan
Q54Q69	46608	nan
Q86A17	17869	nan
Q86A17	17865	nan
Q54VG0	12188	nan
Q54NJ4	13065	nan
Q54MH3	13065	nan
Q54F05	13065	nan
Q54MQ7	33299	nan
Q54QK7	42780	nan
Q54T81	48348	nan
Q54EW8	15045	nan
Q55F94	19669	nan
Q54MH8	19669	nan
Q55AX0	19669	nan
Q8T638	48396	nan
Q556G4	14101	nan
Q86IX2	14385	nan
Q55AX2	60328	nan
Q54PW5	36783	nan
Q75JG8	42652	nan
Q55C80	42656	nan
Q54LP3	21184	nan
Q55F34	77639	77640
Q55F34	10040	10041
Q55F34	77643	77644
Q55F34	15553	15554
Q55F34	70319	70320
C4M4T9	10040	nan
C4M4T9	15553	nan
Q54N97	22508	nan
Q54RD4	22508	nan
Q54SV8	22508	nan
Q54VJ9	27802	nan
Q55FT1	18093	nan
Q55DL0	16121	nan
Q54H46	17989	nan
Q54H46	46608	nan
Q54H45	17989	nan
Q54H45	46608	nan
Q54TA1	17989	nan
Q54TA1	46608	nan
Q54TM7	17989	nan
Q54TM7	46608	nan
Q54XE5	13977	13978
Q86IX1	17989	nan
Q86IX1	46608	nan
Q55GC2	17989	nan
Q55GC2	46608	nan
Q54EY4	17989	nan
Q54EY4	46608	nan
Q54JG7	17989	nan
Q54JG7	46608	nan
Q54EY1	53744	nan
Q54EY1	13953	nan
Q54CU9	53364	53366
Q54CU9	53360	53362
Q54CU9	69851	69853
Q54CU9	69855	69857
Q55E39	10684	nan
Q55E39	20629	nan
Q55E39	47004	nan
Q54R42	10684	nan
Q54R42	20629	nan
Q54R42	47004	nan
Q55BI8	10684	nan
Q55BI8	20629	nan
Q55BI8	47004	nan
Q54T76	10684	nan
Q54T76	20629	nan
Q54T76	47004	nan
Q556Y8	10684	nan
Q556Y8	20629	nan
Q556Y8	47004	nan
Q54BW5	10248	nan
Q76NV1	17989	nan
Q76NV1	46608	nan
Q76NV1	10596	nan
Q54BC9	17989	nan
Q54BC9	46608	nan
Q54BC9	10596	nan
Q55E32	15281	15282
Q55E32	33999	34000
Q54SS0	45244	nan
Q54SS0	45224	nan
Q1ZXF1	16105	16107
Q1ZXF1	20724	20726
Q1ZXF1	26558	26560
Q1ZXF1	31079	31081
Q1ZXF1	26518	26520
Q1ZXF1	45584	45586
P0CT31	19669	19670
P15112	19669	19670
Q06193	19669	19670
Q869T9	13069	nan
Q554D8	13069	nan
Q54CJ4	32727	nan
Q1ZXC6	61020	61021
Q54RK5	10164	nan
Q55F83	10164	nan
Q55FM6	21700	nan
P51555	10164	10165
P51555	10164	10166
Q9U615	10164	nan
Q55G81	13065	nan
O00835	13065	nan
Q54PP1	18561	nan
P42525	17989	nan
P42525	46608	nan
Q54QB1	17989	nan
Q54QB1	46608	nan
Q54XM6	24052	nan
Q6RYT0	11064	nan
Q1ZXQ1	10244	nan
O96099	46260	nan
O96099	46264	nan
Q86I22	19009	nan
Q86I22	16097	nan
Q86I22	26168	nan
Q86I22	15641	nan
Q55CW0	50904	nan
P22508	50904	nan
Q55C77	18885	18887
Q55DR6	15421	nan
Q1ZXQ4	15421	nan
Q54DR1	32295	nan
Q54DR1	32299	nan
Q9UAG7	19465	nan
Q9UAG7	19469	nan
Q54D73	19465	nan
Q54D73	19469	nan
Q86KK2	13893	nan
Q54BF0	17989	nan
Q54BF0	46608	nan
Q1ZXH2	17989	nan
Q1ZXH2	46608	nan
P34101	17989	nan
P34101	46608	nan
Q54MH0	17989	nan
Q54MH0	46608	nan
Q54VI1	17989	nan
Q54VI1	46608	nan
Q554J3	16237	nan
Q54SR7	16237	nan
Q54N80	16237	nan
Q54NB6	16237	nan
Q54G21	16237	nan
Q54Y27	16237	nan
Q869L4	17989	nan
Q869L4	46608	nan
Q55FV4	17989	nan
Q55FV4	46608	nan
Q552Z2	17989	nan
Q552Z2	46608	nan
Q54RT9	13345	nan
Q54RT9	21240	nan
Q55D51	13345	nan
Q54YD9	10540	nan
Q54YD9	11412	nan
Q54YD9	19949	nan
Q54CY5	10580	nan
Q9NH03	22408	nan
Q9NH03	19361	nan
Q54XL6	17989	nan
Q54XL6	46608	nan
Q551H4	17989	nan
Q551H4	46608	nan
Q54C45	11148	nan
Q54JL3	15097	15099
Q54JL3	22736	22737
P10901	12288	nan
Q550W6	72707	nan
Q54VA2	12460	nan
B0G126	13609	13610
B0G126	44680	44681
B0G126	17989	17990
Q94469	10300	nan
Q9N655	10300	nan
Q557D2	15841	15842
Q5V9E9	11816	nan
Q55FI1	23352	nan
Q54VQ5	17785	nan
Q54IJ3	17785	nan
Q553X7	22168	nan
Q553X7	20517	nan
Q54DN6	13553	nan
Q94502	56000	nan
Q94502	55996	nan
Q54L63	17521	nan
Q55ER8	17521	nan
Q54PU2	17521	nan
Q8MVR1	17989	nan
Q8MVR1	46608	nan
Q553Y7	13665	13666
Q54R47	13389	nan
Q94465	17473	17474
Q54KM7	24304	nan
Q54DD3	16945	nan
Q55CZ1	17989	nan
Q55CZ1	46608	nan
Q55DU7	17989	nan
Q55DU7	46608	nan
Q55CY9	17989	nan
Q55CY9	46608	nan
Q5VJL3	17989	nan
Q5VJL3	46608	nan
Q55EC7	17989	nan
Q55EC7	46608	nan
Q54KM0	31331	31332
Q54KM0	35047	35048
Q54LN4	56784	nan
Q54HL4	56784	nan
Q54BK1	22408	nan
Q54BK1	19361	nan
Q54BK1	17653	nan
Q55C57	12801	nan
Q55C57	53904	nan
Q86B00	16169	nan
P0C7B6	16169	nan
Q54WR9	16169	nan
Q54MR1	21864	nan
Q54VT8	21644	nan
Q54VI3	15133	nan
Q54Z26	15481	nan
Q54EW1	15481	nan
Q1ZXF7	23820	23821
Q54K39	15229	nan
Q54WR8	10292	nan
Q54XK9	12172	nan
Q8T1C6	17841	nan
Q54PI5	19433	nan
Q54QC1	18977	nan
P0CD61	13289	13290
Q54PC2	13285	13286
Q54E83	13557	nan
Q8T137	11740	11742
P51136	12801	nan
P51136	53904	nan
Q55FF3	16437	nan
Q556G3	16437	nan
Q54VI4	16437	16438
Q86AU1	16437	nan
Q54QV7	16437	nan
P32073	11680	nan
Q86AW9	14665	nan
B0G189	19669	nan
Q55GH4	18549	18550
Q54DA9	25375	25376
Q54DA9	67444	67445
Q54DA9	25379	25380
Q54DA9	55196	55197
Q556V9	21232	nan
Q54E41	25311	25312
Q54E41	16789	16790
Q86J12	45948	nan
Q869X7	45948	nan
Q55FN5	58196	nan
Q55BW2	58196	58197
Q54X15	58196	nan
Q54VQ7	58196	nan
Q54FK1	36167	nan
Q55E06	24064	nan
Q54P93	13185	nan
Q54IA7	18257	nan
Q54IA8	22584	nan
Q54QI4	15449	nan
Q55GS6	20888	nan
C4LYI2	67916	nan
P54872	10188	nan
Q86HL5	10188	nan
P34135	15989	nan
P34136	15989	nan
Q54GJ7	23048	nan
Q54GJ7	24734	nan
Q76NV5	16189	nan
Q54NJ8	17973	nan
Q54NJ8	25424	nan
Q54JI7	21232	nan
Q55CY3	23660	nan
Q86AX3	13101	nan
Q558K8	21672	nan
Q55BI2	23632	nan
Q54B68	23632	nan
Q75JR3	19629	nan
Q75JR2	19629	nan
Q9NH02	23284	nan
Q54XD8	19669	nan
Q54XP6	19669	nan
Q55D61	13065	nan
Q558U1	17989	nan
Q558U1	46608	nan
Q550L8	17989	nan
Q550L8	46608	nan
Q75JN1	17989	nan
Q75JN1	46608	nan
Q54RJ4	17989	nan
Q54RJ4	46608	nan
Q54QQ0	11708	nan
Q54U72	24056	nan
Q54U72	29315	nan
Q54N49	10716	nan
C4M633	15553	nan
C4M633	10040	nan
Q86K86	15285	nan
Q54PV8	24576	nan
Q55GJ2	17989	nan
Q55GJ2	46608	nan
Q559A2	17989	nan
Q559A2	46608	nan
Q557G1	17989	nan
Q557G1	46608	nan
Q55DJ8	17989	nan
Q55DJ8	46608	nan
Q55DJ9	17989	nan
Q55DJ9	46608	nan
Q54IE8	17989	nan
Q54IE8	46608	nan
Q556Q3	17989	nan
Q556Q3	46608	nan
Q54LQ6	23996	23997
Q54LQ6	44644	44645
Q54LQ6	29399	29400
Q54LQ6	28342	28343
Q54LQ6	28610	28611
Q9XYQ1	12452	nan
Q9XYQ1	13253	nan
Q9XYQ1	20940	nan
Q54QJ9	12973	nan
Q54Y03	12973	nan
Q54Y03	13065	nan
Q54CT8	12973	nan
O96907	12973	12974
P34099	17989	nan
P34099	46608	nan
Q54KM6	65560	nan
Q54KM6	17593	nan
Q54KM6	18121	nan
Q556Y4	17989	nan
Q556Y4	46608	nan
P20425	11600	nan
P20425	25094	nan
P20425	24400	nan
Q556J2	22640	22642
Q54XF2	20780	nan
Q86AG7	17065	nan
Q23915	17989	nan
Q23915	46608	nan
Q54H05	17989	nan
Q54H05	46608	nan
Q27564	19129	nan
Q54RE8	20545	nan
Q54RF5	18157	nan
P54644	17989	nan
P54644	46608	nan
Q54GN2	13517	nan
Q54MA9	13065	nan
Q54GY6	17989	nan
Q54GY6	46608	nan
Q54C71	17989	nan
Q54C71	46608	nan
Q54Q04	16813	nan
Q54Q04	25143	nan
Q55GI5	21252	nan
Q54UF7	16369	nan
Q54L00	17989	nan
Q54L00	46608	nan
P0CD62	17989	nan
P0CD62	46608	nan
P52922	19037	nan
Q54YN2	14817	nan
Q6TU48	18253	nan
Q6TU48	15641	nan
Q8T2K9	18181	nan
Q54KE6	13589	nan
Q8T2J9	13589	nan
Q553V2	20553	20555
Q24849	13065	nan
Q54CP4	13065	13066
Q86B14	13065	13066
Q54GE6	21432	nan
Q54D04	21432	nan
Q54VM2	21432	nan
Q54YT4	22564	nan
Q554C9	52808	nan
Q55DL2	19369	19370
Q54X49	21196	nan
Q54P92	11172	nan
Q95032	21080	nan
O09486	21080	nan
Q54F07	21080	nan
Q9NKW1	22432	nan
Q54XZ0	26526	nan
Q54GA9	16437	nan
P42527	11424	11425
P90648	11424	11425
Q8MY12	11424	11425
Q54SF9	11424	nan
Q54ND5	16989	16990
Q54ND5	77115	77116
