UID	TCID	QUID	Reaction	Evalue	Identity
P0A334	1.A.1.1.1	P31069	[('potassium(1+)  = potassium(1+)', 'CHEBI:29103 = CHEBI:29103'), ('water  = water', 'CHEBI:15377 = CHEBI:15377')]	1.97e-06	47.5
P31069	1.A.1.13.1	P31069	[('potassium(1+)  = potassium(1+)', 'CHEBI:29103 = CHEBI:29103')]	0.0	100.0
Q58752	1.A.1.13.10	P39830	[('potassium(1+)  = potassium(1+)', 'CHEBI:29103 = CHEBI:29103'), ('rubidium(1+)  = rubidium(1+)', 'CHEBI:49847 = CHEBI:49847')]	1e-13	31.933
Q57604	1.A.1.13.8	P39830	[('potassium(1+)  = potassium(1+)', 'CHEBI:29103 = CHEBI:29103')]	4.74e-13	31.538
Q9YDF8	1.A.1.17.1	P31069	[('potassium(1+)  = potassium(1+)', 'CHEBI:29103 = CHEBI:29103')]	3.02e-05	32.184
Q8TDN1	1.A.1.2.26	P31069	[('potassium(1+)  = potassium(1+)', 'CHEBI:29103 = CHEBI:29103')]	1.41e-06	33.721
Q9UIX4	1.A.1.2.27	P31069	[('cation  = cation', 'CHEBI:36916 = CHEBI:36916')]	2.17e-09	32.609
P17971	1.A.1.2.3	P31069	[('potassium(1+)  = potassium(1+)', 'CHEBI:29103 = CHEBI:29103')]	1.66e-05	30.693
XP_009301775.1	1.A.1.2.32	P31069	[('potassium(1+)  = potassium(1+)', 'CHEBI:29103 = CHEBI:29103')]	1.08e-05	43.137
Q86GI9	1.A.1.2.8	P31069	[('potassium(1+)  = potassium(1+)', 'CHEBI:29103 = CHEBI:29103')]	6.59e-07	35.714
O54853	1.A.1.20.2	P0ACJ8	[('K(+) = K(+)', 'CHEBI:29103 = CHEBI:29103')]	7.4e-06	30.682
WP_116718986.1	1.A.1.21.2	P31069	[('potassium(1+)  = potassium(1+)', 'CHEBI:29103 = CHEBI:29103')]	1.11e-05	38.462
WP_048042267.1	1.A.1.21.3	P31069	[('cation  = cation', 'CHEBI:36916 = CHEBI:36916')]	3.36e-06	33.333
Q2W0I8	1.A.1.22.1	P31069	[('potassium(1+)  = potassium(1+)', 'CHEBI:29103 = CHEBI:29103')]	5.84e-08	32.258
B7K3R7	1.A.1.24.4	P31069	[('potassium(1+)  = potassium(1+)', 'CHEBI:29103 = CHEBI:29103')]	2.47e-10	39.13
Q98GN8	1.A.1.25.1	P31069	[('cation  = cation', 'CHEBI:36916 = CHEBI:36916')]	8.35e-05	32.353
Q8I5E6	1.A.1.26.2	P31069	[('K(+) = K(+)', 'CHEBI:29103 = CHEBI:29103')]	8.45e-05	34.667
Q8IKI3	1.A.1.26.4	P31069	[('potassium(1+)  = potassium(1+)', 'CHEBI:29103 = CHEBI:29103')]	9.74e-05	45.238
O54192	1.A.1.27.1	P31069	[('ion  = ion', 'CHEBI:24870 = CHEBI:24870')]	2.79e-05	37.288
Q95V25	1.A.1.3.3	P31069	[('cation  = cation', 'CHEBI:36916 = CHEBI:36916')]	1.19e-10	30.244
C9J9Y7	1.A.1.3.7	P31069	[('potassium(1+)  = potassium(1+)', 'CHEBI:29103 = CHEBI:29103')]	4.38e-07	31.579
Q38998	1.A.1.4.1	P0ACJ8	[('cation  = cation', 'CHEBI:36916 = CHEBI:36916')]	1.78e-05	32.184
Q9Y3Q4	1.A.1.5.10	P0ACJ8	[('Na(+) = Na(+)', 'CHEBI:29101 = CHEBI:29101'), ('K(+) = K(+)', 'CHEBI:29103 = CHEBI:29103')]	4.46e-05	32.955
Q10V66	1.A.1.5.16	P31069	[('potassium(1+)  = potassium(1+)', 'CHEBI:29103 = CHEBI:29103')]	6.18e-05	37.5
G0GA88	1.A.1.5.17	P0ACJ8	[('potassium(1+)  = potassium(1+)', 'CHEBI:29103 = CHEBI:29103')]	1.93e-08	32.632
O88704	1.A.1.5.2	P0ACJ8	[('K(+) = K(+)', 'CHEBI:29103 = CHEBI:29103'), ('Na(+) = Na(+)', 'CHEBI:29101 = CHEBI:29101')]	2.7e-05	32.184
Q6JV75	1.A.1.5.21	P31069	[('potassium(1+)  = potassium(1+)', 'CHEBI:29103 = CHEBI:29103')]	5.83e-06	35.443
I0XVQ9	1.A.1.5.31	P0ACJ8	[('potassium(1+)  = potassium(1+)', 'CHEBI:29103 = CHEBI:29103'), ('inorganic cation  = inorganic cation', 'CHEBI:36915 = CHEBI:36915')]	7.81e-09	41.25
I0XVQ9	1.A.1.5.31	P31069	[('potassium(1+)  = potassium(1+)', 'CHEBI:29103 = CHEBI:29103'), ('inorganic cation  = inorganic cation', 'CHEBI:36915 = CHEBI:36915')]	7.2e-08	31.193
O60741	1.A.1.5.32	P0ACJ8	[('K(+) = K(+)', 'CHEBI:29103 = CHEBI:29103'), ('Na(+) = Na(+)', 'CHEBI:29101 = CHEBI:29101')]	3.17e-05	32.184
E0RR11	1.A.1.5.35	P0ACJ8	[('potassium(1+)  = potassium(1+)', 'CHEBI:29103 = CHEBI:29103')]	5.45e-09	33.684
Q57603	1.A.1.6.1	P31069	[('potassium(1+)  = potassium(1+)', 'CHEBI:29103 = CHEBI:29103')]	4.73e-06	34.286
Q6X308	1.A.1.7.2	P31069	[('potassium(1+)  = potassium(1+)', 'CHEBI:29103 = CHEBI:29103')]	1.27e-06	32.353
Q8LBL1	1.A.1.7.3	P31069	[('potassium(1+)  = potassium(1+)', 'CHEBI:29103 = CHEBI:29103')]	2.01e-05	35.821
