UID	TCID	QueryID	TCDB:Reaction	Rhea:Reaction	Evalue	Identity
A0JCJ5	1.B.1.1.7	sp|P06996|OMPC_ECOLI	molecule (out) ⇌ molecule (in)		5.04e-06	35.878
A0JCJ5	1.B.1.1.7	sp|P76335|YEDS_ECOLI	molecule (out) ⇌ molecule (in)		1.9e-08	38.686
A0L4L0	3.A.1.132.3	sp|P0AEZ3|MIND_ECOLI	Solute (in) + ATP → Solute (out) + ADP + Pi		8.54e-06	43.396
A0L4L0	3.A.1.132.3	sp|P0AF08|APBC_ECOLI	Solute (in) + ATP → Solute (out) + ADP + Pi		7.69e-70	39.368
A0L4L0	3.A.1.132.3	sp|P0AEZ3|MIND_ECOLI	Substrate (out) + ATP → Substrate (in) + ADP + Pi		8.54e-06	43.396
A0L4L0	3.A.1.132.3	sp|P0AF08|APBC_ECOLI	Substrate (out) + ATP → Substrate (in) + ADP + Pi		7.69e-70	39.368
A0M015	1.A.62.2.1	sp|P0AGM2|YICG_ECOLI			5.61e-46	39.394
A0M015	1.A.62.2.1	sp|P0AFP0|YADS_ECOLI			6.96e-43	37.436
A0QQ68	3.A.1.9.2	sp|P0DP70|PHNE2_ECOLI	phosphonate(2-) (in) + ATP → phosphonate(2-) (out) + ADP + Pi		1.84e-24	42.5
A0QQ68	3.A.1.9.2	sp|P0DP70|PHNE2_ECOLI	phosphonate(2-) (in) + ATP → phosphonate(2-) (out) + ADP + Pi		1.13e-23	36.975
A0QQ68	3.A.1.9.2	sp|P0DP69|PHNE1_ECOLI	phosphonate(2-) (in) + ATP → phosphonate(2-) (out) + ADP + Pi		1.08e-11	33.846
A0QQ68	3.A.1.9.2	sp|P0DP69|PHNE1_ECOLI	phosphonate(2-) (in) + ATP → phosphonate(2-) (out) + ADP + Pi		1.48e-10	41.667
A0QQ68	3.A.1.9.2	sp|P0DP70|PHNE2_ECOLI	phosphonate(2-) (out) + ATP → phosphonate(2-) (in) + ADP + Pi		1.84e-24	42.5
A0QQ68	3.A.1.9.2	sp|P0DP70|PHNE2_ECOLI	phosphonate(2-) (out) + ATP → phosphonate(2-) (in) + ADP + Pi		1.13e-23	36.975
A0QQ68	3.A.1.9.2	sp|P0DP69|PHNE1_ECOLI	phosphonate(2-) (out) + ATP → phosphonate(2-) (in) + ADP + Pi		1.08e-11	33.846
A0QQ68	3.A.1.9.2	sp|P0DP69|PHNE1_ECOLI	phosphonate(2-) (out) + ATP → phosphonate(2-) (in) + ADP + Pi		1.48e-10	41.667
A0QQ68	3.A.1.9.2	sp|P0DP70|PHNE2_ECOLI	phosphate(3-) (in) + ATP → phosphate(3-) (out) + ADP + Pi		1.84e-24	42.5
A0QQ68	3.A.1.9.2	sp|P0DP70|PHNE2_ECOLI	phosphate(3-) (in) + ATP → phosphate(3-) (out) + ADP + Pi		1.13e-23	36.975
A0QQ68	3.A.1.9.2	sp|P0DP69|PHNE1_ECOLI	phosphate(3-) (in) + ATP → phosphate(3-) (out) + ADP + Pi		1.08e-11	33.846
A0QQ68	3.A.1.9.2	sp|P0DP69|PHNE1_ECOLI	phosphate(3-) (in) + ATP → phosphate(3-) (out) + ADP + Pi		1.48e-10	41.667
A0QQ68	3.A.1.9.2	sp|P0DP70|PHNE2_ECOLI	phosphate(3-) (out) + ATP → phosphate(3-) (in) + ADP + Pi		1.84e-24	42.5
A0QQ68	3.A.1.9.2	sp|P0DP70|PHNE2_ECOLI	phosphate(3-) (out) + ATP → phosphate(3-) (in) + ADP + Pi		1.13e-23	36.975
A0QQ68	3.A.1.9.2	sp|P0DP69|PHNE1_ECOLI	phosphate(3-) (out) + ATP → phosphate(3-) (in) + ADP + Pi		1.08e-11	33.846
A0QQ68	3.A.1.9.2	sp|P0DP69|PHNE1_ECOLI	phosphate(3-) (out) + ATP → phosphate(3-) (in) + ADP + Pi		1.48e-10	41.667
A0QQ68	3.A.1.9.2	sp|P0DP70|PHNE2_ECOLI	phosphite(3-) (in) + ATP → phosphite(3-) (out) + ADP + Pi		1.84e-24	42.5
A0QQ68	3.A.1.9.2	sp|P0DP70|PHNE2_ECOLI	phosphite(3-) (in) + ATP → phosphite(3-) (out) + ADP + Pi		1.13e-23	36.975
A0QQ68	3.A.1.9.2	sp|P0DP69|PHNE1_ECOLI	phosphite(3-) (in) + ATP → phosphite(3-) (out) + ADP + Pi		1.08e-11	33.846
A0QQ68	3.A.1.9.2	sp|P0DP69|PHNE1_ECOLI	phosphite(3-) (in) + ATP → phosphite(3-) (out) + ADP + Pi		1.48e-10	41.667
A0QQ68	3.A.1.9.2	sp|P0DP70|PHNE2_ECOLI	phosphite(3-) (out) + ATP → phosphite(3-) (in) + ADP + Pi		1.84e-24	42.5
A0QQ68	3.A.1.9.2	sp|P0DP70|PHNE2_ECOLI	phosphite(3-) (out) + ATP → phosphite(3-) (in) + ADP + Pi		1.13e-23	36.975
A0QQ68	3.A.1.9.2	sp|P0DP69|PHNE1_ECOLI	phosphite(3-) (out) + ATP → phosphite(3-) (in) + ADP + Pi		1.08e-11	33.846
A0QQ68	3.A.1.9.2	sp|P0DP69|PHNE1_ECOLI	phosphite(3-) (out) + ATP → phosphite(3-) (in) + ADP + Pi		1.48e-10	41.667
A0QQ70	3.A.1.9.2	sp|P07109|HISP_ECOLI	phosphonate(2-) (in) + ATP → phosphonate(2-) (out) + ADP + Pi	phosphate(out) + ATP + H2O = ADP + 2 phosphate(in) + H(+)	1.92e-31	37.281
A0QQ70	3.A.1.9.2	sp|P0A9U1|YBHF_ECOLI	phosphonate(2-) (in) + ATP → phosphonate(2-) (out) + ADP + Pi	phosphate(out) + ATP + H2O = ADP + 2 phosphate(in) + H(+)	2.15e-18	33.333
A0QQ70	3.A.1.9.2	sp|P0A9U1|YBHF_ECOLI	phosphonate(2-) (in) + ATP → phosphonate(2-) (out) + ADP + Pi	phosphate(out) + ATP + H2O = ADP + 2 phosphate(in) + H(+)	4.54e-09	30.978
A0QQ70	3.A.1.9.2	sp|P68187|MALK_ECOLI	phosphonate(2-) (in) + ATP → phosphonate(2-) (out) + ADP + Pi	phosphate(out) + ATP + H2O = ADP + 2 phosphate(in) + H(+)	1.59e-22	35.294
